2025-10-20 14:36:33 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-20 14:36:33 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 1.8.0_462 on WeiMacm.local with PID 58145 (/Users/w/Documents/项目/chess/chess_code_2/ruoyi/target/classes started by w in /Users/w/Documents/项目/chess/chess_code_2)
2025-10-20 14:36:33 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-10-20 14:36:34 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-10-20 14:36:34 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-10-20 14:36:34 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-10-20 14:38:16 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-10-20 14:38:16 [main] INFO  com.ruoyi.RuoYiApplication - Starting RuoYiApplication using Java 1.8.0_462 on WeiMacm.local with PID 59479 (/Users/w/Documents/项目/chess/chess_code_2/ruoyi/target/classes started by w in /Users/w/Documents/项目/chess/chess_code_2)
2025-10-20 14:38:16 [main] INFO  com.ruoyi.RuoYiApplication - The following 1 profile is active: "dev"
2025-10-20 14:38:17 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-10-20 14:38:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-10-20 14:38:18 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-10-20 14:38:18 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-10-20 14:38:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-10-20 14:38:18 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-10-20 14:38:19 [main] INFO  c.r.framework.config.JacksonConfig - 初始化 jackson 配置
2025-10-20 14:38:19 [main] INFO  c.ruoyi.framework.config.RedisConfig - 初始化 redis 配置
2025-10-20 14:38:19 [main] INFO  org.redisson.Version - Redisson 3.20.1
2025-10-20 14:38:19 [redisson-netty-2-6] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 192.10.84.130/192.10.84.130:6381
2025-10-20 14:38:19 [redisson-netty-2-3] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 192.10.84.130/192.10.84.130:6381
2025-10-20 14:38:20 [main] INFO  io.undertow - starting server: Undertow - 2.2.28.Final
2025-10-20 14:38:20 [main] INFO  org.xnio - XNIO version 3.8.7.Final
2025-10-20 14:38:20 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.7.Final
2025-10-20 14:38:20 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2025-10-20 14:38:20 [main] INFO  com.ruoyi.RuoYiApplication - Started RuoYiApplication in 3.917 seconds (JVM running for 4.465)
2025-10-20 14:38:20 [main] INFO  c.r.c.w.l.WebSocketTopicListener - 初始化WebSocket主题订阅监听器成功
2025-10-20 14:38:20 [main] INFO  c.r.s.runner.SystemApplicationRunner - 初始化OSS配置成功
2025-10-20 14:38:20 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载参数缓存数据成功
2025-10-20 14:38:20 [main] INFO  c.r.s.runner.SystemApplicationRunner - 加载字典缓存数据成功
2025-10-20 14:38:21 [RMI TCP Connection(2)-127.0.0.1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-20 15:37:35 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /captchaImage],无参数
2025-10-20 15:37:36 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /captchaImage],耗时:[823]毫秒
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[POST /login],参数类型[json],参数:[{"username":"admin","password":"admin123","code":"30","uuid":"a679c8b19e7f40d0824d0a92feac999f"}]
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.listener.UserActionListener - user doLogin, userId:sys_user:1, token:eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJsb2dpblR5cGUiOiJsb2dpbiIsImxvZ2luSWQiOiJzeXNfdXNlcjoxIiwicm5TdHIiOiJXbzhwVE5BQzlNeENEM0hrZEtVZzU1WUxZOTZDcnFNNiIsInVzZXJJZCI6MX0.Vx_BZoJPBxNJbpfg_FbMDeIohkWpmhRABk1KLEmh5Sc
2025-10-20 15:37:40 [schedule-pool-1] INFO  c.r.s.s.i.SysLogininforServiceImpl - [127.0.0.1]内网IP[admin][Success][登录成功]
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[POST /login],耗时:[378]毫秒
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getInfo],无参数
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getInfo],耗时:[67]毫秒
2025-10-20 15:37:40 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /getRouters],无参数
2025-10-20 15:37:41 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /getRouters],耗时:[35]毫秒
2025-10-20 15:38:06 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/product/queryProductList],无参数
2025-10-20 15:38:06 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMap/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:06 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/product/queryProductList],耗时:[82]毫秒
2025-10-20 15:38:06 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMap/list],耗时:[124]毫秒
2025-10-20 15:38:09 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMap/1881000197320888322],无参数
2025-10-20 15:38:09 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMap/1881000197320888322],耗时:[78]毫秒
2025-10-20 15:38:18 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMapLegend/queryArbiterMapLegendList],无参数
2025-10-20 15:38:18 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMap/undefined],无参数
2025-10-20 15:38:18 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMap/undefined],耗时:[53]毫秒
2025-10-20 15:38:18 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /business/arbiterMapLegend/queryArbiterMapLegendList],耗时:[59]毫秒
2025-10-20 15:38:23 [XNIO-1 task-2] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMapLegend/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:27 [XNIO-1 task-1] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMapRiver/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:30 [XNIO-1 task-3] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/arbiterMapRoad/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
2025-10-20 15:38:33 [XNIO-1 task-4] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /app/verdictType/list],无参数
2025-10-20 15:38:34 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/shelf_flag],无参数
2025-10-20 15:38:34 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/mode_type],无参数
2025-10-20 15:38:34 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/level_type],无参数
2025-10-20 15:38:34 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/shelf_flag],耗时:[74]毫秒
2025-10-20 15:38:34 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/level_type],耗时:[73]毫秒
2025-10-20 15:38:35 [XNIO-1 task-6] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/verdict_type],无参数
2025-10-20 15:38:35 [XNIO-1 task-7] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /system/dict/data/type/subject_type],无参数
2025-10-20 15:38:35 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /system/dict/data/type/mode_type],耗时:[81]毫秒
2025-10-20 15:38:35 [XNIO-1 task-5] INFO  c.r.f.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /business/product/list],参数类型[param],参数:[{"pageSize":["10"],"pageNum":["1"]}]
